game_id,seconds_elapsed,away_score,home_score,underdog_score,favorite_score,favorite_margin
0022300987,810,30,41,41,30,-11
0022300988,420,20,8,20,8,-12
0022300985,720,23,31,23,31,8
0022300989,90,2,2,2,2,0
0022300990,540,22,32,22,32,10
0022300983,1320,47,50,47,50,3
0022300986,2670,103,102,103,102,-1
0022300987,1620,61,61,61,61,0
0022300989,3360,107,105,107,105,-2
0022300986,630,27,25,27,25,-2
0022300988,1410,62,56,62,56,-6
0022300988,2610,108,97,108,97,-11
0022300989,2310,81,89,81,89,8
0022300989,3030,105,105,105,105,0
0022300983,1680,68,62,68,62,-6
0022300986,360,17,16,17,16,-1
0022300986,480,21,18,21,18,-3
0022300985,1050,40,37,40,37,-3
0022300985,1770,54,68,54,68,14
0022300985,2850,91,95,91,95,4
0022300989,2190,76,84,76,84,8
0022300989,2490,88,96,88,96,8
0022300990,1020,43,48,43,48,5
0022300990,2820,105,134,105,134,29
0022300983,1350,50,52,50,52,2
0022300990,1080,45,57,45,57,12
0022300983,2310,97,90,97,90,-7
0022300983,2790,105,103,105,103,-2
0022300988,450,20,11,20,11,-9
0022300985,270,12,12,12,12,0
0022300985,2190,68,79,68,79,11
0022300987,1710,65,63,63,65,2
0022300987,2340,89,90,90,89,-1
0022300990,1890,74,93,74,93,19
0022300990,2580,94,128,94,128,34
0022300986,2850,105,108,105,108,3
0022300985,2670,87,88,87,88,1
0022300989,2010,70,75,70,75,5
0022300990,1770,70,87,70,87,17
0022300990,2430,94,124,94,124,30
0022300989,360,16,14,16,14,-2
0022300989,2760,99,101,99,101,2
0022300990,180,11,6,11,6,-5
0022300983,570,18,25,18,25,7
0022300983,1590,64,60,64,60,-4
0022300983,2880,108,103,108,103,-5
0022300986,420,17,18,17,18,1
0022300988,240,11,2,11,2,-9
0022300988,2100,95,88,95,88,-7
0022300985,0,0,0,0,0,0
0022300983,2700,103,101,103,101,-2
0022300989,120,5,4,5,4,-1
0022300989,1560,55,63,55,63,8
0022300990,510,22,31,22,31,9
0022300988,180,8,0,8,0,-8
0022300987,450,15,23,23,15,-8
0022300987,1800,65,66,66,65,-1
0022300989,270,13,11,13,11,-2
0022300986,720,27,29,27,29,2
0022300988,30,2,0,2,0,-2
0022300988,1590,71,61,71,61,-10
0022300986,1170,38,43,38,43,5
0022300986,2130,75,86,75,86,11
0022300988,480,22,13,22,13,-9
0022300985,2730,87,93,87,93,6
0022300987,840,33,41,41,33,-8
0022300989,3570,109,117,109,117,8
0022300983,2100,85,81,85,81,-4
0022300986,2070,70,82,70,82,12
0022300985,870,31,31,31,31,0
0022300987,2700,103,96,96,103,7
0022300989,2430,87,93,87,93,6
0022300989,2850,105,105,105,105,0
0022300990,1350,55,73,55,73,18
0022300988,1980,88,81,88,81,-7
0022300986,1410,49,54,49,54,5
0022300988,780,30,25,30,25,-5
0022300988,810,34,27,34,27,-7
0022300990,1530,62,76,62,76,14
0022300987,120,6,5,5,6,1
0022300987,1950,73,69,69,73,4
0022300986,1230,38,43,38,43,5
0022300988,2370,101,95,101,95,-6
0022300990,1470,59,73,59,73,14
0022300990,1620,66,80,66,80,14
0022300986,1290,41,48,41,48,7
0022300988,90,4,0,4,0,-4
0022300988,2880,119,112,119,112,-7
0022300985,1320,44,45,44,45,1
0022300985,1980,60,74,60,74,14
0022300985,2580,85,88,85,88,3
0022300989,630,27,28,27,28,1
0022300989,2610,97,97,97,97,0
0022300983,0,0,0,0,0,0
0022300983,360,10,14,10,14,4
0022300983,1950,82,75,82,75,-7
0022300986,2400,91,98,91,98,7
0022300989,450,21,19,21,19,-2
0022300989,3510,107,113,107,113,6
0022300983,450,10,19,10,19,9
0022300983,1470,56,56,56,56,0
0022300986,1890,64,77,64,77,13
0022300988,1200,54,42,54,42,-12
0022300988,2310,99,95,99,95,-4
0022300988,870,39,29,39,29,-10
0022300985,1800,54,68,54,68,14
0022300987,0,0,0,0,0,0
0022300987,1140,46,46,46,46,0
0022300990,1590,64,78,64,78,14
0022300990,2520,94,128,94,128,34
0022300987,1110,44,46,46,44,-2
0022300989,570,21,26,21,26,5
0022300985,1470,49,53,49,53,4
0022300987,2250,88,87,87,88,1
0022300989,2100,73,81,73,81,8
0022300989,2340,83,91,83,91,8
0022300990,750,31,39,31,39,8
0022300990,2160,86,111,86,111,25
0022300983,2640,103,99,103,99,-4
0022300986,300,13,12,13,12,-1
0022300986,2550,98,100,98,100,2
0022300988,1230,56,44,56,44,-12
0022300985,1110,40,37,40,37,-3
0022300987,1320,48,53,53,48,-5
0022300990,300,13,17,13,17,4
0022300990,450,22,26,22,26,4
0022300990,2610,94,128,94,128,34
0022300983,990,34,47,34,47,13
0022300983,2850,107,103,107,103,-4
0022300986,1950,66,80,66,80,14
0022300988,1170,51,42,51,42,-9
0022300989,300,13,12,13,12,-1
0022300990,1110,45,57,45,57,12
0022300990,2640,95,128,95,128,33
0022300986,1380,47,52,47,52,5
0022300985,30,2,2,2,2,0
0022300985,990,36,36,36,36,0
0022300987,1440,53,59,59,53,-6
0022300990,1980,78,99,78,99,21
0022300983,1650,66,62,66,62,-4
0022300986,270,13,12,13,12,-1
0022300987,990,38,41,41,38,-3
0022300989,420,21,16,21,16,-5
0022300989,1200,40,44,40,44,4
0022300983,2820,105,103,105,103,-2
0022300986,60,2,0,2,0,-2
0022300986,2340,85,96,85,96,11
0022300987,2190,85,83,83,85,2
0022300983,2040,85,79,85,79,-6
0022300986,1830,64,77,64,77,13
0022300988,2130,99,88,99,88,-11
0022300985,810,28,31,28,31,3
0022300989,1800,64,71,64,71,7
0022300990,270,13,14,13,14,1
0022300990,390,22,24,22,24,2
0022300983,1170,43,47,43,47,4
0022300986,1710,60,69,60,69,9
0022300986,2640,100,102,100,102,2
0022300990,2760,103,134,103,134,31
0022300983,1260,45,48,45,48,3
0022300983,2010,85,77,85,77,-8
0022300983,2610,101,99,101,99,-2
0022300986,120,4,5,4,5,1
0022300986,870,29,36,29,36,7
0022300988,2850,115,109,115,109,-6
0022300985,240,9,9,9,9,0
0022300987,300,8,12,12,8,-4
0022300989,1140,38,41,38,41,3
0022300986,30,0,0,0,0,0
0022300988,1620,71,65,71,65,-6
0022300985,1140,40,39,40,39,-1
0022300987,2430,93,91,91,93,2
0022300989,660,32,28,32,28,-4
0022300989,1050,38,41,38,41,3
0022300989,3540,109,117,109,117,8
0022300988,2430,103,95,103,95,-8
0022300985,1620,51,60,51,60,9
0022300987,1350,51,55,55,51,-4
0022300987,2160,83,83,83,83,0
0022300986,570,23,23,23,23,0
0022300986,1320,45,50,45,50,5
0022300988,300,15,4,15,4,-11
0022300988,840,34,27,34,27,-7
0022300988,1920,85,78,85,78,-7
0022300985,2310,70,81,70,81,11
0022300987,90,4,5,5,4,-1
0022300990,2550,94,128,94,128,34
0022300983,210,7,5,7,5,-2
0022300986,2460,93,100,93,100,7
0022300988,2010,90,84,90,84,-6
0022300985,150,4,5,4,5,1
0022300989,540,21,26,21,26,5
0022300989,2730,99,101,99,101,2
0022300990,2010,81,99,81,99,18
0022300986,2160,75,89,75,89,14
0022300986,2190,77,92,77,92,15
0022300988,1830,85,74,85,74,-11
0022300987,2370,93,90,90,93,3
0022300989,1860,66,71,66,71,5
0022300986,1560,53,60,53,60,7
0022300988,1950,88,79,88,79,-9
0022300987,30,0,0,0,0,0
0022300987,900,36,41,41,36,-5
0022300989,390,16,16,16,16,0
0022300989,2130,75,84,75,84,9
0022300983,510,12,21,12,21,9
0022300985,2490,85,88,85,88,3
0022300990,30,2,0,2,0,-2
0022300990,120,11,2,11,2,-9
0022300986,2280,83,94,83,94,11
0022300988,1380,59,54,59,54,-5
0022300985,2520,85,88,85,88,3
0022300987,720,25,37,37,25,-12
0022300983,1380,50,52,50,52,2
0022300983,2220,90,83,90,83,-7
0022300986,1680,58,65,58,65,7
0022300988,1050,46,37,46,37,-9
0022300985,300,12,14,12,14,2
0022300985,540,21,24,21,24,3
0022300985,660,21,31,21,31,10
0022300987,1410,51,57,57,51,-6
0022300987,1500,56,59,59,56,-3
0022300989,3330,107,105,107,105,-2
0022300988,510,24,13,24,13,-11
0022300987,1740,65,63,63,65,2
0022300983,1410,52,54,52,54,2
0022300988,60,4,0,4,0,-4
0022300985,2790,89,95,89,95,6
0022300989,690,32,28,32,28,-4
0022300989,3480,107,111,107,111,4
0022300990,780,31,39,31,39,8
0022300990,1560,64,78,64,78,14
0022300990,2280,88,119,88,119,31
0022300983,810,30,37,30,37,7
0022300983,1860,77,72,77,72,-5
0022300985,1230,42,41,42,41,-1
0022300987,1470,56,59,59,56,-3
0022300987,1980,76,71,71,76,5
0022300990,870,37,45,37,45,8
0022300983,600,18,27,18,27,9
0022300987,210,8,7,7,8,1
0022300989,1890,66,73,66,73,7
0022300983,2280,95,88,95,88,-7
0022300986,990,34,39,34,39,5
0022300985,330,12,14,12,14,2
0022300985,2400,80,83,80,83,3
0022300987,2310,88,90,90,88,-2
0022300987,2790,107,99,99,107,8
0022300989,2940,105,105,105,105,0
0022300990,150,11,4,11,4,-7
0022300988,540,24,13,24,13,-11
0022300985,1440,49,51,49,51,2
0022300987,2100,83,79,79,83,4
0022300987,2880,114,104,104,114,10
0022300989,510,21,22,21,22,1
0022300989,1080,38,41,38,41,3
0022300989,2640,97,99,97,99,2
0022300986,2370,88,98,88,98,10
0022300985,780,28,31,28,31,3
0022300987,2610,100,96,96,100,4
0022300989,1620,57,63,57,63,6
0022300989,2790,101,101,101,101,0
0022300990,1650,66,80,66,80,14
0022300990,2250,88,116,88,116,28
0022300983,2160,90,83,90,83,-7
0022300988,2550,105,95,105,95,-10
0022300988,2730,111,99,111,99,-12
0022300985,390,17,14,17,14,-3
0022300987,2640,103,96,96,103,7
0022300989,1950,68,73,68,73,5
0022300989,2580,95,97,95,97,2
0022300990,1320,55,70,55,70,15
0022300990,1800,70,87,70,87,17
0022300990,2220,88,114,88,114,26
0022300986,1050,34,39,34,39,5
0022300987,1920,73,69,69,73,4
0022300989,1230,40,46,40,46,6
0022300989,2820,101,101,101,101,0
0022300989,3120,105,105,105,105,0
0022300983,1230,45,48,45,48,3
0022300986,1920,64,77,64,77,13
0022300986,2730,105,104,105,104,-1
0022300986,2790,105,105,105,105,0
0022300985,120,4,5,4,5,1
0022300985,2370,77,83,77,83,6
0022300989,990,36,41,36,41,5
0022300990,90,8,0,8,0,-8
0022300990,1230,52,66,52,66,14
0022300990,2070,83,102,83,102,19
0022300983,2490,99,96,99,96,-3
0022300986,600,27,25,27,25,-2
0022300986,2250,82,92,82,92,10
0022300989,1260,40,46,40,46,6
0022300990,480,22,29,22,29,7
0022300990,2130,86,108,86,108,22
0022300983,750,27,34,27,34,7
0022300986,210,6,8,6,8,2
0022300988,210,8,0,8,0,-8
0022300988,1440,62,56,62,56,-6
0022300988,2070,93,85,93,85,-8
0022300985,510,21,24,21,24,3
0022300987,2550,100,94,94,100,6
0022300983,1440,54,54,54,54,0
0022300986,510,23,20,23,20,-3
0022300986,660,27,25,27,25,-2
0022300988,1020,46,34,46,34,-12
0022300987,1560,59,61,61,59,-2
0022300989,810,32,32,32,32,0
0022300989,960,36,39,36,39,3
0022300989,1980,68,73,68,73,5
0022300983,690,25,34,25,34,9
0022300983,1050,36,47,36,47,11
0022300983,2520,99,96,99,96,-3
0022300988,750,30,25,30,25,-5
0022300987,1380,51,57,57,51,-6
0022300987,1830,67,66,66,67,1
0022300989,1650,60,63,60,63,3
0022300989,1920,68,73,68,73,5
0022300986,2220,80,92,80,92,12
0022300988,690,30,22,30,22,-8
0022300987,360,8,17,17,8,-9
0022300990,1140,45,58,45,58,13
0022300986,1080,36,39,36,39,3
0022300988,2040,93,84,93,84,-9
0022300987,480,17,25,25,17,-8
0022300987,1770,65,66,66,65,-1
0022300990,690,28,36,28,36,8
0022300990,2880,105,136,105,136,31
0022300986,180,4,7,4,7,3
0022300986,780,27,34,27,34,7
0022300986,1350,47,52,47,52,5
0022300988,660,30,19,30,19,-11
0022300987,2070,81,77,77,81,4
0022300988,2490,105,95,105,95,-10
0022300985,1080,40,37,40,37,-3
0022300989,870,32,35,32,35,3
0022300990,330,17,20,17,20,3
0022300983,2430,99,93,99,93,-6
0022300986,1800,62,72,62,72,10
0022300986,2760,105,105,105,105,0
0022300988,390,20,6,20,6,-14
0022300988,2640,108,97,108,97,-11
0022300985,1830,54,68,54,68,14
0022300987,1860,70,66,66,70,4
0022300987,2820,107,99,99,107,8
0022300989,2070,70,78,70,78,8
0022300983,1020,34,47,34,47,13
0022300983,1740,72,65,72,65,-7
0022300983,2070,85,81,85,81,-4
0022300983,2250,93,85,93,85,-8
0022300983,2670,103,101,103,101,-2
0022300986,540,23,20,23,20,-3
0022300986,2880,107,110,107,110,3
0022300985,1380,46,48,46,48,2
0022300983,720,25,34,25,34,9
0022300986,2010,68,82,68,82,14
0022300986,2820,105,105,105,105,0
0022300988,120,4,0,4,0,-4
0022300987,2760,105,99,99,105,6
0022300989,2670,97,99,97,99,2
0022300989,3180,105,105,105,105,0
0022300990,2400,92,124,92,124,32
0022300983,180,7,5,7,5,-2
0022300983,1080,39,47,39,47,8
0022300988,600,27,17,27,17,-10
0022300987,2280,88,87,87,88,1
0022300989,1500,52,59,52,59,7
0022300989,3000,105,105,105,105,0
0022300990,1440,59,73,59,73,14
0022300990,2100,83,102,83,102,19
0022300983,630,18,27,18,27,9
0022300988,1320,59,49,59,49,-10
0022300989,1410,47,56,47,56,9
0022300990,2670,97,132,97,132,35
0022300988,2580,108,97,108,97,-11
0022300985,630,21,28,21,28,7
0022300987,1020,39,41,41,39,-2
0022300990,2790,105,134,105,134,29
0022300986,960,32,39,32,39,7
0022300986,1740,60,69,60,69,9
0022300988,1080,49,37,49,37,-12
0022300988,2790,113,104,113,104,-9
0022300985,60,2,2,2,2,0
0022300985,1020,38,36,38,36,-2
0022300987,540,19,28,28,19,-9
0022300987,2010,79,74,74,79,5
0022300987,2730,105,99,99,105,6
0022300989,0,0,0,0,0,0
0022300989,30,0,2,0,2,2
0022300989,1590,57,63,57,63,6
0022300983,1290,47,48,47,48,1
0022300986,1770,62,72,62,72,10
0022300985,2280,68,81,68,81,13
0022300987,600,19,31,31,19,-12
0022300990,720,28,38,28,38,10
0022300990,900,39,45,39,45,6
0022300985,210,7,5,7,5,-2
0022300985,900,31,33,31,33,2
0022300985,1740,51,68,51,68,17
0022300985,2010,60,74,60,74,14
0022300988,1710,78,69,78,69,-9
0022300985,750,26,31,26,31,5
0022300989,1350,42,50,42,50,8
0022300989,1380,44,53,44,53,9
0022300989,1770,64,67,64,67,3
0022300989,2910,105,105,105,105,0
0022300990,2310,88,122,88,122,34
0022300983,390,10,17,10,17,7
0022300983,930,32,43,32,43,11
0022300983,1920,82,75,82,75,-7
0022300986,2490,96,100,96,100,4
0022300988,2400,103,95,103,95,-8
0022300987,1530,59,61,61,59,-2
0022300989,240,10,8,10,8,-2
0022300989,780,32,32,32,32,0
0022300989,2370,85,91,85,91,6
0022300986,2430,91,100,91,100,9
0022300986,2700,103,102,103,102,-1
0022300985,690,23,31,23,31,8
0022300985,2100,63,77,63,77,14
0022300989,2160,76,84,76,84,8
0022300989,2460,87,96,87,96,9
0022300990,930,41,45,41,45,4
0022300990,1950,76,97,76,97,21
0022300983,1140,39,47,39,47,8
0022300985,2220,68,79,68,79,11
0022300987,1230,46,51,51,46,-5
0022300983,240,7,7,7,7,0
0022300983,1770,74,68,74,68,-6
0022300983,2340,99,90,99,90,-9
0022300986,450,19,18,19,18,-1
0022300988,1530,69,61,69,61,-8
0022300988,2760,113,102,113,102,-11
0022300985,2340,72,81,72,81,9
0022300987,660,19,35,35,19,-16
0022300990,1260,52,68,52,68,16
0022300987,1590,61,61,61,61,0
0022300989,1710,62,66,62,66,4
0022300985,360,17,14,17,14,-3
0022300987,2400,93,91,91,93,2
0022300989,2040,70,75,70,75,5
0022300990,570,22,32,22,32,10
0022300990,2370,92,124,92,124,32
0022300990,2730,101,134,101,134,33
0022300983,1530,62,58,62,58,-4
0022300988,900,39,32,39,32,-7
0022300988,2280,99,93,99,93,-6
0022300988,2670,111,99,111,99,-12
0022300987,690,22,35,35,22,-13
0022300989,2250,81,87,81,87,6
0022300989,3150,105,105,105,105,0
0022300988,1290,59,47,59,47,-12
0022300988,1860,85,76,85,76,-9
0022300987,270,8,12,12,8,-4
0022300990,0,0,0,0,0,0
0022300990,600,24,34,24,34,10
0022300990,2490,94,126,94,126,32
0022300983,1830,77,72,77,72,-5
0022300987,1200,46,51,51,46,-5
0022300989,840,32,35,32,35,3
0022300989,1740,62,66,62,66,4
0022300990,1380,57,73,57,73,16
0022300983,330,7,11,7,11,4
0022300986,1470,51,57,51,57,6
0022300985,1710,51,66,51,66,15
0022300989,2520,93,96,93,96,3
0022300983,2370,99,90,99,90,-9
0022300986,1620,55,62,55,62,7
0022300985,2040,63,74,63,74,11
0022300985,2700,87,91,87,91,4
0022300989,3420,107,109,107,109,2
0022300990,420,22,24,22,24,2
0022300990,660,28,34,28,34,6
0022300990,2340,90,124,90,124,34
0022300988,2460,103,95,103,95,-8
0022300985,420,17,16,17,16,-1
0022300985,1650,51,63,51,63,12
0022300983,420,10,19,10,19,9
0022300988,2160,99,88,99,88,-11
0022300985,1410,49,48,49,48,-1
0022300987,420,13,22,22,13,-9
0022300989,1530,52,61,52,61,9
0022300986,810,27,34,27,34,7
0022300986,900,29,36,29,36,7
